Task,Description,Success Rate (%),Future Video PSNR (dB)
libero_10_0,turn on the stove and put the moka pot on it table 1,100.00,25.9131
libero_10_2,turn on the stove and put the moka pot on it table 12,0.00,16.5673
libero_10_33,put the black bowl in the bottom drawer of the cabinet and close it table 1,0.00,22.7883
libero_10_35,put the black bowl in the bottom drawer of the cabinet and close it table 12,0.00,26.5256
libero_10_137,put both the alphabet soup and the cream cheese box in the basket table 1,100.00,24.0938
libero_10_138,put both the alphabet soup and the cream cheese box in the basket table 12,100.00,25.8597
libero_10_145,put both the alphabet soup and the tomato sauce in the basket table 1,100.00,27.3690
libero_10_147,put both the alphabet soup and the tomato sauce in the basket table 12,100.00,25.2835
libero_10_158,put both the cream cheese box and the butter in the basket table 1,0.00,24.4276
libero_10_160,put both the cream cheese box and the butter in the basket table 12,0.00,25.7971
libero_10_193,put the white mug on the left plate and put the yellow and white mug on the right plate table 1,0.00,25.2384
libero_10_195,put the white mug on the left plate and put the yellow and white mug on the right plate table 12,0.00,27.7233
libero_10_289,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 1,0.00,24.3127
libero_10_290,put both the alphabet soup and the tomato sauce in the basket view 0 0 100 0 0 initstate 11,0.00,24.3961
libero_10_330,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 2,100.00,28.1692
libero_10_331,put both the cream cheese box and the butter in the basket view 0 0 100 0 0 initstate 42,100.00,27.8195
libero_10_365,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 3,100.00,24.5756
libero_10_366,turn on the stove and put the moka pot on it view 0 0 100 0 0 initstate 13,0.00,25.0457
libero_10_410,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 14,0.00,25.5399
libero_10_411,put the black bowl in the bottom drawer of the cabinet and close it view 0 0 100 0 0 initstate 24,0.00,25.7111
libero_10_457,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 115,0.00,27.3740
libero_10_458,put the white mug on the left plate and put the yellow and white mug on the right plate view 0 0 100 0 0 initstate 125,0.00,28.4388
libero_10_567,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 8,100.00,28.8205
libero_10_568,put both the alphabet soup and the cream cheese box in the basket view 0 0 100 0 0 initstate 78,100.00,28.4827
libero_10_1933,turn on the stove and put the moka pot on it add 14,100.00,26.7393
libero_10_1945,turn on the stove and put the moka pot on it add 7,100.00,26.5421
libero_10_1959,put the black bowl in the bottom drawer of the cabinet and close it add 10,100.00,27.9704
libero_10_1960,put the black bowl in the bottom drawer of the cabinet and close it add 11,100.00,28.4422
libero_10_2046,put both the alphabet soup and the cream cheese box in the basket add 18,100.00,27.7436
libero_10_2047,put both the alphabet soup and the cream cheese box in the basket add 27,100.00,27.3348
libero_10_2059,put both the alphabet soup and the tomato sauce in the basket add 1,100.00,28.4719
libero_10_2060,put both the alphabet soup and the tomato sauce in the basket add 10,100.00,28.4631
libero_10_2093,put both the cream cheese box and the butter in the basket add 10,100.00,27.9359
libero_10_2094,put both the cream cheese box and the butter in the basket add 11,100.00,28.6975
libero_10_2127,put the white mug on the left plate and put the yellow and white mug on the right plate add 1,100.00,29.5176
libero_10_2128,put the white mug on the left plate and put the yellow and white mug on the right plate add 10,0.00,29.5132
